user_id,item_id,interaction
user_1,item_5,3
user_1,item_6,3
user_1,item_10,2
user_1,item_13,4
user_1,item_14,4
user_1,item_16,1
user_1,item_17,3
user_1,item_19,4
user_1,item_23,4
user_1,item_25,3
user_2,item_3,1
user_2,item_7,4
user_2,item_8,4
user_2,item_9,5
user_2,item_11,1
user_2,item_12,4
user_2,item_16,2
user_2,item_22,4
user_2,item_23,5
user_2,item_25,5
user_3,item_4,5
user_3,item_6,1
user_3,item_8,3
user_3,item_9,3
user_3,item_17,5
user_3,item_22,3
user_4,item_4,5
user_4,item_5,1
user_4,item_9,5
user_4,item_11,5
user_4,item_12,3
user_4,item_16,5
user_4,item_19,3
user_4,item_21,1
user_4,item_23,1
user_4,item_25,5
user_5,item_2,3
user_5,item_4,3
user_5,item_5,3
user_5,item_12,2
user_5,item_14,1
user_5,item_15,2
user_5,item_17,5
user_5,item_25,3
user_6,item_1,5
user_6,item_5,1
user_6,item_6,3
user_6,item_7,5
user_6,item_10,2
user_6,item_12,4
user_6,item_19,2
user_6,item_20,4
user_6,item_21,1
user_6,item_23,1
user_6,item_24,4
user_7,item_2,1
user_7,item_9,4
user_7,item_12,1
user_7,item_14,2
user_7,item_18,4
user_7,item_19,5
user_7,item_20,3
user_7,item_23,3
user_7,item_25,5
user_8,item_8,3
user_8,item_11,4
user_8,item_16,5
user_8,item_21,5
user_8,item_22,1
user_8,item_24,1
user_9,item_3,2
user_9,item_6,3
user_9,item_7,2
user_9,item_12,2
user_9,item_25,3
user_10,item_3,2
user_10,item_5,2
user_10,item_8,1
user_10,item_10,4
user_10,item_12,5
user_10,item_13,3
user_10,item_20,4
user_10,item_22,2
user_11,item_2,1
user_11,item_4,1
user_11,item_6,5
user_11,item_11,3
user_11,item_13,4
user_11,item_14,1
user_11,item_17,2
user_11,item_23,5
user_11,item_25,2
user_12,item_5,2
user_12,item_6,3
user_12,item_10,5
user_12,item_16,5
user_12,item_17,2
user_12,item_18,2
user_12,item_20,5
user_12,item_22,2
user_12,item_23,4
user_13,item_2,1
user_13,item_4,2
user_13,item_9,1
user_13,item_17,1
user_13,item_21,3
user_13,item_23,1
user_14,item_5,5
user_14,item_6,1
user_14,item_8,5
user_14,item_11,2
user_14,item_14,3
user_14,item_17,4
user_14,item_23,1
user_15,item_1,5
user_15,item_2,5
user_15,item_9,5
user_15,item_12,3
user_15,item_13,3
user_15,item_14,2
user_15,item_16,4
user_15,item_21,1
user_15,item_23,1
user_15,item_24,2
user_15,item_25,5
user_16,item_1,5
user_16,item_2,5
user_16,item_4,3
user_16,item_6,1
user_16,item_7,1
user_16,item_11,4
user_16,item_13,4
user_16,item_14,5
user_16,item_15,4
user_16,item_18,4
user_16,item_19,1
user_16,item_20,3
user_17,item_1,3
user_17,item_9,1
user_17,item_18,1
user_17,item_20,4
user_18,item_3,1
user_18,item_4,3
user_18,item_5,4
user_18,item_6,1
user_18,item_8,2
user_18,item_15,3
user_18,item_17,5
user_18,item_20,4
user_18,item_25,2
user_19,item_8,1
user_19,item_10,5
user_19,item_15,3
user_19,item_21,4
user_20,item_1,2
user_20,item_2,5
user_20,item_3,4
user_20,item_5,1
user_20,item_9,2
user_20,item_11,1
user_20,item_15,5
user_20,item_16,4
user_20,item_19,2
user_20,item_23,3
user_20,item_24,3
user_21,item_3,2
user_21,item_6,5
user_21,item_7,1
user_21,item_9,4
user_21,item_10,5
user_21,item_15,2
user_21,item_23,3
user_22,item_1,5
user_22,item_2,4
user_22,item_4,1
user_22,item_5,3
user_22,item_6,5
user_22,item_8,2
user_22,item_11,1
user_22,item_19,2
user_22,item_23,1
user_22,item_25,5
user_23,item_9,2
user_23,item_10,5
user_23,item_11,1
user_23,item_19,3
user_23,item_21,3
user_23,item_24,5
user_23,item_25,1
user_24,item_4,3
user_24,item_17,1
user_24,item_20,3
user_25,item_1,5
user_25,item_9,4
user_25,item_15,4
user_25,item_23,3
user_26,item_1,5
user_26,item_5,2
user_26,item_7,5
user_26,item_8,2
user_26,item_10,4
user_26,item_12,4
user_26,item_14,2
user_26,item_17,3
user_26,item_22,5
user_26,item_23,4
user_26,item_24,1
user_27,item_2,5
user_27,item_5,1
user_27,item_6,1
user_27,item_7,4
user_27,item_14,4
user_27,item_16,1
user_27,item_23,5
user_28,item_5,1
user_28,item_16,3
user_28,item_22,1
user_28,item_24,3
user_29,item_1,2
user_29,item_3,4
user_29,item_8,3
user_29,item_22,2
user_29,item_23,1
user_29,item_24,3
user_29,item_25,3
user_30,item_6,2
user_30,item_8,4
user_30,item_13,4
user_30,item_16,3
user_30,item_20,1
user_30,item_23,3
user_30,item_25,5
user_31,item_1,5
user_31,item_2,2
user_31,item_6,5
user_31,item_9,2
user_31,item_10,3
user_31,item_16,5
user_31,item_23,5
user_31,item_25,5
user_32,item_9,1
user_32,item_10,4
user_32,item_11,4
user_32,item_12,3
user_32,item_16,1
user_32,item_22,2
user_32,item_25,2
user_33,item_1,5
user_33,item_2,3
user_33,item_7,3
user_33,item_13,1
user_33,item_16,2
user_33,item_17,2
user_33,item_23,1
user_33,item_24,2
user_34,item_3,3
user_34,item_6,3
user_34,item_24,5
user_35,item_15,3
user_35,item_17,2
user_35,item_18,5
user_35,item_19,1
user_35,item_21,1
user_35,item_23,3
user_36,item_1,3
user_36,item_5,4
user_36,item_7,3
user_36,item_9,2
user_36,item_11,2
user_36,item_14,1
user_36,item_18,3
user_36,item_21,3
user_36,item_22,5
user_37,item_1,1
user_37,item_3,5
user_37,item_10,4
user_37,item_12,5
user_37,item_13,2
user_37,item_14,4
user_37,item_15,4
user_37,item_16,1
user_37,item_17,5
user_37,item_24,3
user_38,item_1,3
user_38,item_9,3
user_38,item_13,3
user_38,item_14,2
user_38,item_18,5
user_38,item_22,4
user_38,item_23,5
user_38,item_25,2
user_39,item_4,5
user_39,item_5,4
user_39,item_6,4
user_39,item_7,3
user_39,item_8,4
user_39,item_9,2
user_39,item_11,3
user_39,item_19,1
user_39,item_25,5
user_40,item_2,1
user_40,item_3,5
user_40,item_5,2
user_40,item_7,3
user_40,item_8,1
user_40,item_10,5
user_40,item_15,3
user_40,item_20,1
user_41,item_1,1
user_41,item_2,3
user_41,item_6,5
user_41,item_9,1
user_41,item_10,1
user_41,item_12,1
user_41,item_13,1
user_41,item_14,5
user_41,item_15,3
user_41,item_17,5
user_41,item_18,2
user_41,item_21,5
user_42,item_2,4
user_42,item_4,4
user_42,item_7,4
user_42,item_8,1
user_42,item_9,5
user_42,item_10,5
user_42,item_11,2
user_42,item_13,2
user_42,item_15,4
user_42,item_16,3
user_42,item_17,3
user_42,item_18,1
user_42,item_19,1
user_43,item_1,4
user_43,item_6,4
user_43,item_8,4
user_43,item_9,5
user_43,item_17,4
user_43,item_20,1
user_43,item_22,3
user_43,item_24,1
user_44,item_1,5
user_44,item_8,1
user_44,item_11,2
user_44,item_16,3
user_44,item_17,5
user_44,item_18,5
user_44,item_21,2
user_44,item_24,4
user_45,item_3,1
user_45,item_4,4
user_45,item_9,1
user_45,item_12,5
user_45,item_13,1
user_45,item_15,5
user_45,item_16,3
user_45,item_22,5
user_45,item_23,3
user_45,item_25,4
user_46,item_11,2
user_46,item_12,5
user_46,item_14,3
user_46,item_19,2
user_46,item_23,1
user_47,item_5,5
user_47,item_6,2
user_47,item_7,2
user_47,item_8,5
user_47,item_11,2
user_47,item_15,2
user_47,item_19,1
user_47,item_22,5
user_48,item_1,1
user_48,item_5,1
user_48,item_6,2
user_48,item_15,1
user_48,item_25,3
user_49,item_9,2
user_49,item_10,5
user_49,item_19,3
user_49,item_20,5
user_49,item_22,3
user_49,item_24,5
user_50,item_1,5
user_50,item_8,2
user_50,item_13,4
user_50,item_14,5
user_50,item_15,1
user_50,item_17,4
user_50,item_19,1
user_50,item_22,5
